PLAYER,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PA,2P%,3PA,3P%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI
Jeff Teague,Atl,PG,25,26,32.7,67.9,26.3,0.176,147,0.823,278,0.435,64,0.281,0.513,16,2.8,4.9,8,39,1.23,0.15,8.7
Marquis Teague,Chi,SG,20,16,13.4,27.1,17,0.174,12,0.667,53,0.264,8,0.125,0.294,2.4,0.9,3.9,1.7,20,0.13,0.25,4.6
Mirza Teletovic,Bro,SF,28,18,15.4,31.7,19.6,0.102,17,0.588,39,0.359,59,0.39,0.507,5.9,3.6,13.4,0.5,5.5,0.33,0.22,5.7
Garrett Temple,Was,SG,27,22,10.1,20.6,13.6,0.268,7,0.571,36,0.389,10,0.1,0.357,1.6,1,5.4,1,13.6,0.36,0.14,4.6
Jason Terry,Bro,PG,36,11,17.2,35.1,15.5,0.111,5,0.8,20,0.45,34,0.353,0.516,5.3,1.2,4,1.5,14.7,0.27,0,4.9
Hasheem Thabeet,Okc,C,26,4,7.8,15.3,11.8,0.237,1,0,6,0.5,0,0,0.466,1.5,2.8,19.1,0.3,4.6,0,0,5.5
Isaiah Thomas,Sac,PG,24,24,30.2,62.5,27.3,0.144,126,0.881,228,0.482,98,0.418,0.595,18.9,2.4,4.6,5.5,33.4,1.38,0,8.3
Lance Thomas,Nor,SF,25,5,8.3,15.9,13.6,0.157,4,0.5,9,0.222,0,0,0.279,1.2,1.4,9.5,0.6,9.7,0,0,4.8
Hollis Thompson,Phi,SF,22,24,20.6,41.9,12.9,0.139,29,0.759,70,0.543,47,0.34,0.563,6.1,3.6,9.5,0.9,6.2,0.5,0.17,5.2
Jason Thompson,Sac,PF,27,24,22.5,46.4,16.7,0.148,43,0.674,154,0.474,0,0,0.506,7.3,5.6,14.2,0.8,6,0.21,0.63,5.7
Klay Thompson,Gol,SG,23,26,38,78.6,22.3,0.106,74,0.784,226,0.482,188,0.436,0.584,20.1,3.2,4.6,2.7,12,0.88,0.46,5.9
Tristan Thompson,Cle,PF,22,24,32.3,66.4,18,0.111,101,0.693,234,0.444,1,0,0.497,11.6,9.9,17,0.8,4.2,0.63,0.5,5.6
Marcus Thornton,Sac,SG,26,18,24.2,49.9,17.3,0.047,20,0.8,75,0.427,78,0.282,0.451,8.1,2.9,7,1.1,6.9,0.83,0.22,4.9
